YEAR,MO,DY,Temperature,Relative_Humidity,Specific_Humidity,Precipitation,Pressure,Wind_Speed,Wind_Direction
2000,5,15,27.87,83.69,19.47,3.68,100.23,3.13,251
2000,5,16,27.81,81.69,18.92,3.36,100.23,3.63,242.12
2000,5,17,26.81,89.12,19.65,12.77,100.16,3.12,243.06
2000,5,18,27.28,85.94,19.35,6.46,100.18,3.49,256.5
2000,5,19,27,89.81,20.02,44.47,100.15,3.48,266.62
2000,5,20,27.15,89.12,20.02,3.02,100.17,3.03,239.25
2000,5,21,26.72,88,19.29,1.21,100.29,2.78,223.19
2000,5,22,27.84,83.5,19.41,0.51,100.34,1.86,211.62
2000,5,23,27.62,85.62,19.71,0.25,100.3,2.27,236.81
2000,5,24,27.39,86.69,19.71,0.58,100.27,2.45,249.88
2000,5,25,27.37,86.31,19.59,6.24,100.21,2.12,252.12
2000,5,26,26.74,90.38,19.9,25.37,100.21,3.09,256.12
2000,5,27,27.48,85.88,19.59,0.23,100.13,2.38,279.31
2000,5,28,27.91,85.5,20.02,1.14,100.12,2.08,230
2000,5,29,27,89.75,20.02,18.58,100.18,2.28,213.75
2000,5,30,26.7,89.5,19.65,38.8,100.08,3.34,252.69
2000,5,31,25.92,91.88,19.29,19.35,100.01,3.69,245.69
2000,6,1,26.53,88.81,19.29,10.24,99.92,3.13,233.12
2000,6,2,25.68,92.44,19.17,37.61,100.06,3.52,239.38
2000,6,3,25.95,89,18.62,17.95,100.13,2.49,175.94
2000,6,4,26.37,85.38,18.25,2.99,100.16,1.57,135.88
2000,6,5,27.44,82.56,18.74,7.99,100.16,1.27,133.69
2000,6,6,27.13,86.44,19.29,1.81,100.24,2.21,128.62
2000,6,7,26.95,88.69,19.65,23.88,100.33,2.14,145.81
2000,6,8,26.41,90.31,19.41,1.41,100.4,1.73,169.5
2000,6,9,25.83,92.75,19.29,2.47,100.46,2.78,202.81
2000,6,10,26.53,87.5,18.92,0.13,100.4,2.28,197.25
2000,6,11,27.06,86.44,19.23,0.87,100.35,3.17,223.12
2000,6,12,26.95,87,19.29,0.22,100.3,3.93,260.19
2000,6,13,26.73,87.5,19.17,0.22,100.31,4.27,272.19
2000,6,14,26.71,89.19,19.53,2.21,100.23,3.62,261.56
2000,6,15,26.09,91.75,19.47,16.76,100.18,3.88,245.75
2000,6,16,25.88,92,19.23,4.33,100.13,3.64,248.62
2000,6,17,26.31,89.25,19.1,1.74,100.12,3.87,238.44
2000,6,18,26.28,87.88,18.74,2.97,100.13,4.12,247.25
2000,6,19,26.44,88.69,19.17,11.18,100.12,3.64,239.94
2000,6,20,26.86,87.75,19.41,2.04,100.13,2.7,230.06
2000,6,21,26.23,90.56,19.29,9.26,100.31,2.54,216.94
2000,6,22,26.38,89.56,19.23,2.67,100.4,2.15,219
2000,6,23,26.35,89.5,19.17,2.93,100.38,2.72,234.56
2000,6,24,25.88,91.12,19.04,0.13,100.28,2.26,233.94
2000,6,25,26.59,88,19.1,2.85,100.2,2.5,238.06
2000,6,26,26.17,89.81,19.1,13.78,100.2,2.7,245.12
2000,6,27,26.15,89.88,19.04,0.49,100.19,2.37,288.44
2000,6,28,26.23,88.5,18.86,1.84,100.14,2.56,293
2000,6,29,25.77,93,19.41,7.82,100.02,3.16,258
2000,6,30,25.51,92.94,19.1,5.82,99.94,4.09,191.25
2000,7,1,26.59,87.12,18.98,3.82,99.86,3.41,171.5
2000,7,2,27,87.12,19.47,7.18,99.79,2.48,175
2000,7,3,26.33,91.88,19.84,8.71,99.79,3.3,222.5
2000,7,4,26.37,91.69,19.78,19.79,99.88,3.43,219.38
2000,7,5,25.98,92.75,19.59,29.85,100.01,4.15,222.44
2000,7,6,25.42,90.25,18.37,1.85,100.19,4.61,240.69
2000,7,7,26.16,89.38,18.92,6.39,100.15,3.94,242.5
2000,7,8,26.62,87.75,19.1,1.02,100.08,4.34,253
2000,7,9,26.32,87.19,18.62,2.87,100.02,4.49,257.56
2000,7,10,25.42,91.44,18.62,22.03,100.1,5.02,243.81
2000,7,11,24.62,92.31,17.94,4.41,100.26,4.86,236.06
2000,7,12,24.76,89,17.33,1.26,100.39,4.35,257.12
2000,7,13,25.25,84.88,16.91,1.79,100.3,3.66,269.88
2000,7,14,25.67,87.56,18.01,9.37,100.07,4.28,262.5
2000,7,15,25.57,90.81,18.68,8.07,99.97,4.96,234.88
2000,7,16,25.45,92.19,18.8,8.35,100.12,4.58,225.56
2000,7,17,25.27,93.38,18.86,28.14,100.32,4.14,235.69
2000,7,18,25.17,89.19,17.76,2.05,100.29,4.03,258.5
2000,7,19,25.58,89.56,18.37,0.68,100.1,3.29,262.88
2000,7,20,26.44,86.81,18.62,0.06,100.15,3.57,252.38
2000,7,21,26.32,87.12,18.62,0.02,100.25,2.91,238.88
2000,7,22,26.58,87.12,18.86,0.31,100.18,2.91,247.56
2000,7,23,26.08,90.62,19.17,10.6,100.05,2.7,259.06
2000,7,24,26.2,91.94,19.65,28.75,100.1,2.98,264.75
2000,7,25,25.94,92.56,19.47,57.74,100.16,3.63,255.62
2000,7,26,25.66,89.69,18.49,10.06,100.21,2.83,261.75
2000,7,27,25.74,90.31,18.74,4.14,100.07,3.65,245.31
2000,7,28,26.23,88.81,18.92,2.57,100.1,3.52,220.06
2000,7,29,26.63,88.31,19.23,3.23,100.19,3.07,219.62
2000,7,30,26.88,87.5,19.29,0,100.25,2.37,230.56
2000,7,31,26.76,88.25,19.35,0,100.24,2.45,231.44
2000,8,1,26.48,88.81,19.17,0.01,100.2,2.67,229.38
2000,8,2,27,86.44,19.17,0.01,100.2,3.26,263.75
2000,8,3,26.12,90.81,19.23,0.12,100.24,3.61,232.06
2000,8,4,26.26,88.06,18.74,0.38,100.23,3.71,232.69
2000,8,5,26.25,89.25,18.98,3.2,100.21,3.56,230.62
2000,8,6,26.2,90.25,19.23,8.54,100.18,2.91,241.31
2000,8,7,26.25,90.12,19.23,9.32,100.2,2.36,226.19
2000,8,8,26.44,89.31,19.29,6.81,100.28,1.91,215.38
2000,8,9,26.84,86.88,19.1,0.09,100.27,1.59,229.94
2000,8,10,26.28,89.31,19.1,1.36,100.23,2.34,281.94
2000,8,11,26.3,90.25,19.35,6.94,100.09,2.2,258.88
2000,8,12,26.15,92.56,19.65,43.23,100.29,2.64,242.38
2000,8,13,26.6,88,19.04,1.79,100.43,2.72,244.88
2000,8,14,26.08,90.69,19.1,0.83,100.41,2.97,261
2000,8,15,26.3,88.19,18.8,0.48,100.25,3.88,265.31
2000,8,16,25.91,90.69,19.04,1.99,100.07,4.35,254.12
2000,8,17,25.23,92.25,18.62,3.95,100.08,4.73,260.88
2000,8,18,25.67,89.88,18.55,4.22,100.21,3.62,262.44
2000,8,19,25.35,92.31,18.74,8.79,100.05,4.88,264.81
2000,8,20,25.73,90.25,18.74,8.94,99.86,4.16,267.19
2000,8,21,25.65,92.81,19.29,23.91,99.72,5.48,258.69
2000,8,22,25.4,92.56,18.92,40.99,99.76,7.08,245.81
2000,8,23,25.75,91.56,19.1,50.15,99.92,6.74,238.62
2000,8,24,26.05,90.94,19.23,55.61,100.05,6.02,229.44
2000,8,25,26.55,90.19,19.59,2.4,100.13,4.52,231.69
2000,8,26,26.08,92.5,19.59,3.74,100.17,3.84,240.38
2000,8,27,26.44,91.06,19.71,2.7,100.15,3.8,239.69
2000,8,28,26.55,90.69,19.78,1.42,100.15,4.95,257.44
2000,8,29,25.67,91.94,19.04,2.4,100.17,4.96,252.19
2000,8,30,25.35,92.44,18.8,2.24,100.11,4.45,257.19
2000,8,31,25.79,90.88,18.92,0.28,100.12,3.9,255.12
2000,9,1,25.62,92.44,19.04,0.44,100.2,4.25,249.69
2000,9,2,25.85,90.5,18.86,0,100.2,3.68,256.81
2000,9,3,26.19,90.5,19.23,0,100.28,3.4,263.88
2000,9,4,26.18,88.88,18.8,0,100.38,3.45,269.75
2000,9,5,25.42,89.38,18.07,1.26,100.38,3.45,250
2000,9,6,25.68,90.19,18.55,5.55,100.29,3.48,257.56
2000,9,7,25.67,91.31,18.86,8.4,100.27,3.74,262.06
2000,9,8,26.26,90.06,19.23,9.95,100.21,3.59,268.62
2000,9,9,26.47,89.5,19.35,2.38,100.17,4.56,255.12
2000,9,10,26,91.19,19.23,9.38,100.1,4.08,236.06
2000,9,11,25.82,91.38,19.04,6.79,100.11,3.84,225.25
2000,9,12,25.81,90.75,18.86,1.6,100.27,3.62,237.75
2000,9,13,25.47,90.38,18.37,0.96,100.31,2.7,269
2000,9,14,25.75,91,18.86,13.57,100.18,3.01,285.19
2000,9,15,26.1,91.06,19.29,33.14,100.08,2.44,226.44
2000,9,16,26.02,89.38,18.8,13.81,100.27,2.19,206
2000,9,17,26.39,88.62,19.04,8.21,100.38,2.09,132.31
2000,9,18,26.9,87.5,19.29,19.49,100.34,1.74,138.81
2000,9,19,27,87.56,19.41,6.03,100.33,1.79,120.62
2000,9,20,27.34,86.19,19.53,2.11,100.34,1.17,180.38
2000,9,21,27.3,85.44,19.23,1.66,100.33,1.56,155.69
2000,9,22,26.28,90.12,19.23,3.53,100.35,2.85,168
2000,9,23,26.33,88.69,18.92,2.72,100.45,3.21,120.5
2000,9,24,27,86.31,19.04,13.06,100.39,2.36,131.19
2000,9,25,26.68,87,18.92,15.07,100.38,2.15,273.25
2000,9,26,26.41,88.25,18.98,21.63,100.36,1.31,287.38
2000,9,27,26.4,89.56,19.29,2.54,100.28,1.77,276.31
2000,9,28,25.83,91,18.92,7.11,100.35,1.8,276.31
2000,9,29,26.98,84.88,18.74,16.28,100.45,1.3,184.5
2000,9,30,26.8,87.38,19.1,2.87,100.51,1.75,123.62
2000,10,1,26.97,86.88,19.23,11.77,100.52,2.12,187.38
2000,10,2,25.63,89.62,18.37,7.58,100.51,3.02,113.75
2000,10,3,25.36,91.5,18.49,5.23,100.44,2.39,115.44
2000,10,4,26.43,87.25,18.68,0.95,100.37,2.05,143
2000,10,5,26.05,89.12,18.74,1.82,100.39,1.34,184.62
2000,10,6,25.33,93.19,18.86,18.09,100.43,3.23,250.5
2000,10,7,24.87,92,18.07,20.51,100.32,2.88,311.62
2000,10,8,26.14,89.81,19.1,11.52,100.1,4.11,309.38
2000,10,9,25.43,95.06,19.47,51.15,99.95,4.23,278.19
2000,10,10,25.24,93.69,18.92,17.58,99.96,5.86,276.31
2000,10,11,25.36,94.06,19.17,6.66,99.95,6.09,265.5
2000,10,12,25.13,94.12,18.92,13.26,99.93,5.66,269.19
2000,10,13,26.03,93.31,19.84,6.08,99.81,5.04,271.56
2000,10,14,25.69,92.38,19.17,4.12,99.92,4,293.25
2000,10,15,25.92,90.56,18.98,4.35,100.17,2.89,292.88
2000,10,16,25.69,91,18.8,2.19,100.28,2.73,324.12
2000,10,17,26.02,91.44,19.35,16.69,100.07,2.27,319.25
2000,10,18,25.83,93.75,19.65,28.25,99.93,2.81,290.44
2000,10,19,26.19,90.12,19.23,9.02,100.03,2,256.56
2000,10,20,26.42,91.19,19.71,8.81,100.16,2.45,265.31
2000,10,21,26.4,90.94,19.59,0.9,100.21,1.85,251
2000,10,22,26.7,90.19,19.78,0.46,100.16,1.61,207.25
2000,10,23,26.05,91.25,19.23,0.84,100.22,2.05,139.38
2000,10,24,26.43,89,19.1,4.57,100.34,2.61,136
2000,10,25,26.65,88.5,19.29,12.4,100.39,1.52,220.38
2000,10,26,27.14,87.69,19.65,18.43,100.35,0.95,163.44
2000,10,27,25.94,92.06,19.35,8.15,100.34,1.91,265.44
2000,10,28,25.93,90.94,19.04,1.58,100.28,1.95,202.75
2000,10,29,25.26,89.94,18.13,12.39,100.26,1.55,177.81
2000,10,30,26.51,81.5,17.52,16.86,100.2,1.59,105.62
2000,10,31,26.03,87.88,18.43,12.48,100.25,1.42,144.5
2000,11,1,23.84,92.94,17.21,7.79,100.37,2.19,106.06
2000,11,2,24.8,82.5,15.93,0.18,100.48,1.38,161.06
2000,11,3,25.4,82.19,16.54,0,100.54,1.05,193.69
2000,11,4,25.55,83.94,16.97,0.14,100.59,1.18,211.69
2000,11,5,25.44,81.94,16.48,0.06,100.42,1.49,293.56
2000,11,6,25.24,79.69,15.87,0.14,100.34,1.09,150.25
2000,11,7,25.14,81.44,16.05,0,100.42,1.45,112.19
2000,11,8,25.25,82.19,16.3,0,100.41,1.41,181.94
2000,11,9,25.64,77.69,15.75,0,100.38,1.05,113.62
2000,11,10,25.76,80.12,16.48,0.05,100.51,1.62,117.81
2000,11,11,26.55,83.75,18.01,2.09,100.4,1.41,181.81
2000,11,12,26.58,84.69,18.25,13.44,100.26,1.5,98.44
2000,11,13,26.33,88.31,18.92,7.52,100.16,1.79,137.62
2000,11,14,26.87,84.75,18.68,0.26,100.15,2.22,141.75
2000,11,15,26.76,82.75,18.13,3.29,100.16,2.38,40.44
2000,11,16,24.65,92.62,18.07,76.83,100.18,3.89,120.38
2000,11,17,25.25,91.69,18.49,12.16,100.26,2.97,76.38
2000,11,18,25.48,84.25,17.09,0.86,100.28,2.71,55.38
2000,11,19,25.5,88.88,18.13,1.28,100.23,2.73,70.94
2000,11,20,25.98,86.69,18.13,0.97,100.22,2.17,103.38
2000,11,21,24.81,84.19,16.42,0.15,100.32,3.38,19.56
2000,11,22,25.17,84.38,16.91,0.21,100.36,2.82,133.44
2000,11,23,25.39,89.19,18.13,2.03,100.41,2.39,160.06
2000,11,24,25.63,90.81,18.62,1.27,100.34,3.51,102.81
2000,11,25,25.98,87.06,18.13,0.38,100.35,3.18,97.19
2000,11,26,26.43,83.62,17.88,0.99,100.44,2.26,84.44
2000,11,27,27.03,82.75,18.31,1.32,100.45,1.18,144.06
2000,11,28,26.76,83.69,18.31,0.52,100.35,1.45,190.56
2000,11,29,26.55,83.75,18.07,1.03,100.36,1.34,207.69
2000,11,30,26.27,86.31,18.37,0.28,100.41,1.63,174.44
2000,12,1,26.3,83.75,17.7,0,100.4,1.18,169
2000,12,2,25.02,83.75,16.42,0,100.51,2.12,225.25
2000,12,3,24.14,86.56,16.3,0,100.48,3.23,266.38
2000,12,4,23.94,84.75,15.69,0.01,100.41,3.06,132.88
2000,12,5,23.95,84.94,15.75,0.14,100.36,3.37,246.56
2000,12,6,24.25,90.12,17.09,8.59,100.31,3.19,342
2000,12,7,24.74,92.94,18.25,21.66,100.23,3.53,172.5
2000,12,8,25.44,91.56,18.62,6.04,100.2,3.4,90.06
2000,12,9,25.67,86.25,17.7,0.06,100.27,1.97,116.38
2000,12,10,26.62,82.5,17.76,0.01,100.41,0.98,181.19
2000,12,11,26.63,85,18.37,12.44,100.39,1.2,242.56
2000,12,12,26.35,89.25,19.1,20.29,100.31,2.14,176.44
2000,12,13,26.42,85.25,18.25,3.11,100.32,1.33,133.88
2000,12,14,25.07,87.31,17.27,25.91,100.47,2.1,233.94
2000,12,15,25.99,85.19,17.82,0.96,100.51,1.75,76.12
2000,12,16,26.23,85.44,18.07,0.49,100.56,1.99,106.5
2000,12,17,26.34,83.88,17.88,0.05,100.49,1.92,95.56
2000,12,18,25.81,84.44,17.46,0.05,100.32,2.52,66.31
2000,12,19,25.47,85.25,17.33,0.07,100.28,2.9,82.62
2000,12,20,25.39,86.88,17.58,0.12,100.41,2.6,81.38
2000,12,21,25.52,83.5,16.97,0.12,100.41,2.73,64.94
2000,12,22,24.58,80.12,15.38,0.01,100.45,1.92,68.5
2000,12,23,23.48,78.12,13.92,0,100.49,1.7,149.25
2000,12,24,23.05,79.31,13.79,0,100.51,1.82,198.25
2000,12,25,23.89,82.06,15.2,0.12,100.52,1.45,106.94
2000,12,26,23.83,90,16.6,1.21,100.47,2.64,326.88
2000,12,27,25.56,85.5,17.46,3.13,100.41,2.16,137.69
2000,12,28,26.15,85.12,17.94,0.91,100.36,1.85,170.88
2000,12,29,25.84,85.69,17.76,0.39,100.34,2.11,158.56
2000,12,30,25.65,83.88,17.09,0.18,100.38,1.39,220.81
2000,12,31,24.93,81.44,15.75,0.01,100.45,1.64,111.38
2001,1,1,23.54,78.88,13.98,0,100.47,1.79,129.19
2001,1,2,22.88,79.88,13.61,0,100.51,1.77,125.38
2001,1,3,23.46,81.31,14.34,0,100.56,1.78,99
2001,1,4,24.68,83.94,16.05,0,100.56,2.03,184.38
2001,1,5,25.17,83.94,16.6,0,100.54,3.61,101.12
2001,1,6,25.03,83.56,16.36,0.25,100.54,2.97,112.06
2001,1,7,25.24,85.56,17.03,0.1,100.44,1.84,179.56
2001,1,8,25.3,84.81,16.91,0.01,100.36,1.75,186.06
2001,1,9,25.27,84.38,16.78,0.04,100.4,1.68,162.94
2001,1,10,25.05,85.19,16.72,0.16,100.37,1.88,252.31
2001,1,11,25.06,85.38,16.85,0.02,100.3,1.75,241.12
2001,1,12,25.89,84.5,17.46,0.01,100.38,1.38,164.25
2001,1,13,26.32,84.88,18.07,0.29,100.37,2.35,92.94
2001,1,14,25.29,84.62,16.91,1.3,100.49,2.37,91.38
2001,1,15,25.05,81.56,15.99,0.09,100.56,1.69,98
2001,1,16,24.66,77.06,14.77,0,100.61,2.55,63.88
2001,1,17,23.86,81.88,15.08,0.09,100.61,2.34,84.56
2001,1,18,24.86,83.62,16.36,0.62,100.52,4.02,77.06
2001,1,19,25.23,85.75,17.09,0.23,100.52,3.21,70.75
2001,1,20,25.96,82.81,17.15,0.01,100.46,2.61,154.31
2001,1,21,26.23,80.75,16.97,3.01,100.36,2.24,115.19
2001,1,22,26.01,82.88,17.09,0,100.35,2.31,88
2001,1,23,25.99,81.81,16.85,0,100.36,3.03,110.12
2001,1,24,25.36,83.38,16.6,0,100.33,3.2,115.75
2001,1,25,25.91,83,17.09,0,100.29,2.94,124.94
2001,1,26,26.31,84.56,17.88,0,100.27,2.83,126.12
2001,1,27,26.14,83.88,17.58,0,100.34,3.14,136.75
2001,1,28,27.51,78.44,17.58,0.01,100.38,0.9,108.81
2001,1,29,26.42,73.62,15.56,0,100.45,1.65,151.38
2001,1,30,25.23,74.44,14.59,0,100.44,1.63,136.06
2001,1,31,25.66,79.88,16.11,0,100.32,1.98,192.69
2001,2,1,25.59,82.06,16.6,0.25,100.29,2.43,242.69
2001,2,2,25.79,81.5,16.66,0,100.26,2.16,157.44
2001,2,3,25.84,78.88,16.05,0,100.32,1.86,101.88
2001,2,4,25.41,77,14.89,0,100.37,1.92,137.62
2001,2,5,24.98,72.94,13.85,0.06,100.33,1.45,157.19
2001,2,6,25.58,77.06,15.38,0.56,100.27,2.21,175.12
2001,2,7,26.46,77.62,16.36,0,100.2,2.55,92.56
